name,brand,price_ref,jd_price,zol_id,产品型号,电商报价,上市时间,产品类型,产品定位,操作系统,CPU系列,CPU型号,CPU主频,最高睿频,核心/线程数,三级缓存,核心代号,制程工艺,功耗,内存容量,内存类型,硬盘容量,硬盘描述,屏幕类型,屏幕尺寸,显示比例,屏幕分辨率,亮度,屏占比,屏幕刷新率,响应时间,屏幕技术,DCI-P3色域,显卡类型,显卡芯片,显存容量,摄像头,音频系统,扬声器,麦克风,无线网卡,蓝牙,数据接口,指取设备,键盘描述,人脸识别,电池类型,电源适配器,笔记本重量,长度,宽度,厚度,外壳材质,外壳描述,安全性能,其它特点,变形方式,插槽数量,最大内存容量,触控屏,色域,屏幕边框,显存类型,显存位宽,有线网卡,其它接口,二级缓存,续航时间,散热系统,附带软件,sRGB色域,读卡器,对比度,像素密度,指纹识别,特色功能,包装清单,保修政策,质保时间,Adobe RGB色域,显卡最高功耗,独显直连,工作温度,工作湿度,存储温度,DeltaE,NFC,error,pub_date,总线规格,NTSC色域
惠普星Book Pro Air 14(Ultra7-258V),惠普,¥6998,,2165921,ku0023TU,￥6998,2026年03月,家用,轻薄笔记本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿Ultra 2代系列,Intel 酷睿Ultra 5 225H,1.7GHz,4.9GHz运行流畅,14核心/14线程,18MB,Arrow Lake,3nm,45W耗电高,16GB极速运行,LPDDR5X（低功耗版）7467MT/s,512GB,SSD固态硬盘（PCIe4.0）,OLED,14英寸14游戏、便捷,16:10,2880x1800超高清屏,SDR：500nits、HDR：1100nits,90%,120Hz,0.2ms,窄边框、低蓝光,100%,核芯显卡,Intel Arc 130T GPU,共享内存容量 略显吃力,1080p FHD摄像头（IR）高清,DTS：X Ultra，Poly Studio,双扬声器,内置麦克风,WiFi6,支持，蓝牙5.2模块,左侧：1×USB Type-A 5Gbps 右侧：2×全功能USB Type-C，1×USB Type-A 5Gbps，1×HDMI2.1，3.5mm耳机/麦克风二合一接口,HP Imagepad 支持多点触控手势,全尺寸键盘,支持,3芯锂电池，60瓦时,100W GaN 氮化镓充电器,1.09Kg,313.5mm,221.4mm,12.75mm,A、C、D面铝合金材质,银色,通过MIL-STD-810H军标测试,180°开合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
惠普HyperX 暗影精灵 Pro 16,惠普,¥12998,,2164760,am2072TX，DC0E6PA,￥13998,2026年04月,家用,游戏本,Windows 11 家庭版,英特尔 酷睿 Ultra 7 200系列,Intel 酷睿 Ultra 7 270HX Plus,1.8GHz,5.3GHz运行流畅,20核心/20线程,30MB,Arrow Lake,TSMC N3B,55W耗电高,16GB极速运行热门游戏本,DDR5 5600MHz,1TB,SSD固态硬盘（NVMe）,IPS,16英寸16,16:10,2560x1600超高清屏,,,240Hz,3ms,VRR可变刷新率，DC调光,,性能级独立显卡,NVIDIA GeForce RTX 5060,8GB显示流畅,1080P全高清前置摄像头，带临时降噪功能,HyperX + DTS: X Ultra 双音效，Audio Boost 2.0,立体声扬声器,双阵列数字麦克风（摄像头集成）,WiFi 7，支持802.11 a/b/g/n/ac/ax/be无线协议，支持双频（2.4GHz+5GHz）,支持，蓝牙6.0模块,1×全功能USB3.1 Type-C接口，1×USB 3.1接口，2×USB 3.0接口，1×HDMI 2.1接口，3.5mm耳机/麦克风二合一接口,一体化多点触控触摸板,全尺寸键盘,,6芯锂离子聚合物电池，83瓦时,280W智能交流电源适配器,2.48Kg,357.5mm,269mm,25.8-26.1mm,,黑色,,,翻转,2xSO-DIMM,64GB,不支持触控,sRGB：100%,窄边框,GDDR7,128bit,1000Mbps以太网卡,1×RJ45（千兆网络接口），电源接口,,,,,,,,,,,,,,,,,,,,,,,,,
机械革命无界15X Pro（锐龙AI 9 H 365）,机械革命,¥4499,,2138630,X5HP4NAG-A91,￥6699,2025年,家用,轻薄笔记本商务办公本游戏本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,AMD Ryzen 200系列,AMD Ryzen 7 H 255,3.8GHz,4.9GHz运行流畅,八核心/十六线程多任务运行强,16MB,Hawk Point,4nm,45W耗电高,32GB（16GB×2）极速运行热门游戏本,DDR5 5600MHz,1TB,SSD固态硬盘（PCIe4.0）,,15.3英寸15.3游戏、便捷,16:10,2560x1600超高清屏,400nits,,120Hz,,,,核芯显卡,AMD Radeon 780M,共享内存容量 略显吃力,集成IR人脸识别摄像头普清,Nahimic声效认证,,,WiFi6: ，支持802.11ax无线协议,,1×Thunderbolt4，1×USB3.1 Type-C（全功能），3×USB3.0，1×HDMI2.1，3.5mm耳机/麦克风二合一接口,,全尺寸键盘: ，人体工程学键盘,支持,锂电池，99瓦时,100W 3PIN氮化镓电源适配器,1.77Kg,,,,金属,灰色，全金属机身,,,翻转,,,不支持触控,sRGB：100%,,,,1000Mbps以太网卡,1×RJ45千兆（网络接口）,8MB,约15小时左右，视具体使用环境而定长续航笔记本,并联双热管散热架构,内置星界智联APP,,,,,,,,,,,,,,,,,,,,,
联想小新Air 15 2026(酷睿5 220H),联想,¥4699,,2168787,小新Air 15 IWC11,￥5189,2025年05月,家用,,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿5 3代系列,Intel 酷睿 5 320,1.5GHz,4.6GHz运行流畅,六核心/六线程多任务运行强,6MB,Wildcat Lake,Intel 18A,,16GB极速运行,LPDDR5X,512GB,SSD固态硬盘（PCIe4.0）,LCD,15.3英寸15.3游戏、便捷,16:10,1920x1200全高清屏,400nits,,120Hz,,AG防眩光雾面屏，菜茵护眼，DC调光,,核芯显卡,Intel Graphics,共享内存容量 略显吃力,1080p FHD摄像头（IR）高清,杜比认证音效,内置扬声器,内置麦克风,WiFi6E，支持802.11ax无线协议,支持，蓝牙5.4模块,左侧：2×USB-C 右侧：2×USB-A，1×HDMI，3.5mm耳机/麦克风二合一接口,悦滑触控板,悦控键盘,支持,4芯锂电池，54.7瓦时,65W USB Type-C电源适配器,1.49Kg,236mm,339.33mm,15.6-15.95mm,丝绸铝,云灰,通过MIL-STD-810H军标测试,,,,,支持十点触控,,,,,,,,本地视频播放续航23.8小时长续航笔记本,,正版 Office,100%,Micro SD读卡器,,,,,,,,,,,,,,,,,,,
HUAWEI MateBook 14 2023,华为,¥5499,,1546879,MateBook 14 2023,,2023年05月25日,商用,轻薄笔记本商务办公本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿i5 13代系列,Intel 酷睿i5 1340P中端主流机,,4.6GHz运行流畅,12核心/16线程,12MB,,10nm,,16GB极速运行,LPDDR4X（低功耗版）4266MHz,512GB,SSD固态硬盘（M.2 2280）,IPS,14英寸14游戏、便捷,3:2,2160x1440超高清屏,300nits,90%,60Hz,,莱茵TUV低蓝光护眼认证，莱茵TUV无频闪认证,,集成显卡,Intel Iris Xe Graphics,共享内存容量略显吃力,720p HD摄像头高清,内置音效芯片,立体声双扬声器,4麦克风,WiFi6,支持，蓝牙5.1模块,左侧：1×USB Type-C 右侧：2×USB3.1，左侧：HDMI，左侧：1×3.5mm耳机/麦克风二合一接口,触摸板,全尺寸背光键盘（1.5mm键程）,不支持,4芯锂电池，56瓦时,65W USB Type-C电源适配器,1.49Kg,307.5mm,223.8mm,15.9mm,金属材质,深空灰，皓月银,,电源键指纹二合一,,,16GB,支持十点触控,,,,,,,,视具体使用环境而定长续航笔记本,,Office家庭和学生版,100%,,1500：1,185ppi,支持智能指纹识别功能,超级终端，Super Turbo，华为电脑管家，华为应用市场，华为浏览器，高能模式：热键Fn+P开启，显示管理（护眼模式），华为F10一键还原，黑白电子书,笔记本电脑x1 电源适配器x1 USB-C数据充电线x1 保修卡x1 快速入门x1,全国联保，享受三包服务,2年,,,,,,,,,,,,
华硕天选6 Pro 酷睿版(U7-255H),华硕,¥9449,,2139965,天选6 Pro 酷睿版,,2025年08月,家用,游戏本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿Ultra 7 2代系列,Intel 酷睿Ultra 7 255HX,2.4GHz,5.2GHz运行流畅,20核心/20线程,30MB,Arrow Lake,3nm,,16GB极速运行热门游戏本,DDR5 5600MHz,1TB,SSD固态硬盘（PCIe4.0）,IPS,16英寸16,16:10,2560x1600超高清屏,400nits,,165Hz,,DC调光，支持G-SYNC,,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce RTX5060,8GB显示流畅,1080p FHD摄像头（IR）高清,杜比认证音效，Hi-Res认证,2个高品质扬声器,双麦克风阵列,WiFi6E，支持802.11ax无线协议,支持，蓝牙5.3模块,左侧：1×雷电4 40Gbps，1×USB-C 10Gbps，1×USB-A 10Gbps 右侧：2×USB-A 10Gbps，1×HDMI2.1，3.5mm耳机/麦克风二合一接口,RGB触控板,背光键盘，全尺寸键盘（包含独立数字键盘）,支持,4芯锂电池，90瓦时,100V-240V 280W 自适应交流电源适配器,2.25Kg,269mm,354mm,17.9-27.3mm,A面金属，B、C、D高强度复合材质,日蚀灰，魔幻青,,180°开合,,2xSO-DIMM,64GB,不支持触控,,四面窄边框设计,GDDR7,,1000Mbps以太网卡,1×RJ45（网络接口），电源接口,36MB,,,,100%,,,,,,,,,75.35%,115W,支持,,,,,,,,,
苹果MacBook Neo(A18 Pro/8GB/256GB),苹果,¥4599,,2159315,MacBook Neo,￥4599,2026年03月,家用,轻薄笔记本商务办公本,macOS,Apple A18系列,Apple A18 Pro,,,6核心多任务运行强,,,,,8GB运行流畅,,256GB,SSD固态硬盘,Liquid视网膜显示屏,13英寸13移动、办公,,2408x1506超高清屏,500nits,,,,10亿色彩，sRGB色域,,核芯显卡,5核图形处理器,共享内存容量 略显吃力,1080p FaceTime 高清摄像头,支持的格式包括 AAC、MP3、Apple 保真压缩、FLAC、杜比数字、杜比数字+、杜比全景声,双扬声器系统,双麦克风阵列,WiFi6E，支持802.11ax无线协议,支持，蓝牙6.0模块,左侧：1×USB3 (USB-C)，1×USB2 (USB-C)，3.5mm耳机,多点触控板,妙控键盘,,锂聚合物电池，36.5瓦时,20W USB-C 电源适配器,1.23Kg,206.4mm,297.5mm,,铝金属,银色，桃粉色，柑橘黄色，靛蓝色,,支持的格式包括 HEVC、H.264、AV1 和 ProRes 支持包括杜比视界、HDR10+/HDR10 和 HLG,,,,不支持触控,,,,,,,,最长可达16小时的流媒体视频播放，最长可达11小时的无线上网长续航笔记本,,,,,,219ppi,,,MacBook Neo x1 20W USB-C 电源适配器 x1 USB-C 充电线 (1.5 米) x1,,,,,,10-35℃,0%-90%,-25-45℃,,,,,,
ThinkPad T14p AI 2024(Ultra5-125H),联想,¥7499,,2002138,,,2024年04月,商用,轻薄笔记本商务办公本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿 Ultra 5系列,Intel 酷睿 Ultra 5 125H,,4.5GHz运行流畅,14核心/18线程,18MB,,7nm,,32GB极速运行,DDR5 5600MHz,1TB,SSD固态硬盘（PCIe4.0）,,14.5英寸14.5游戏、便捷,16:10,2560x1600超高清屏,350nits,90%,90Hz,,莱茵TUV Eyesafe 2.0认证,,核芯显卡,,共享内存容量 略显吃力,1080p FHD摄像头（IR）高清,,,,WiFi6E，支持802.11ax无线协议,,左侧：1×USB3.1 右侧：1×USB3.1，2×Thunderbolt4，HDMI2.1，3.5mm耳机/麦克风二合一接口,触摸板，指点杆,背光键盘,支持智能人脸识别功能,锂电池，75瓦时,,,325.5mm,227.6mm,17.7mm,,,,MIL-STD-810H标准,,,64GB,不支持触控,,,,,,1×RJ45（网络接口）,,,,,100%,,,,支持智能指纹识别功能,,,,,,,,,,,＜1,,,,,
荣耀MagicBook Pro 14(U5-225H),荣耀,¥6099,,2121879,荣耀MagicBook Pro 14,￥6299,2025年02月,商用,商务办公本轻薄笔记本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿Ultra 5 2代系列,Intel 酷睿Ultra 5 Processor 225H,1.7GHz,4.9GHz运行流畅,14核心/14线程,18MB,Arrow Lake,3nm,,32GB极速运行,LPDDR5X（低功耗版）8400 MT/s,1TB,SSD固态硬盘,OLED,14.6英寸14.6游戏、便捷,3:2,3120x2080超高清屏,700nits,91.50%,120Hz,,10.7亿色彩，4320Hz超高频PWM，178度可视角度，德国莱茵硬件低蓝光护眼认证，德国莱茵无频闪护眼认证，通过中标院VICO A+认证,100%,核芯显卡,Intel Arc 130T GPU,共享内存容量 略显吃力,1080P全高清前置摄像头,内置立体声音效芯片,2个立体声扬声器,3个内置麦克风,WiFi6: ，支持802.11ax无线协议,支持，蓝牙5.1模块,左侧：2×USB-C 右侧：2×USB-A 3.2 Gen1，1×HDMI，3.5mm耳机/麦克风二合一接口,触摸板，支持5点触控（Windows 11 当前最多支持四点手势识别),全尺寸键盘,,4芯锂电池，92瓦时,100W USB Type-C电源适配器,1.37Kg,319.8mm,231.8mm,16.9mm,,颜色：星辰灰，极光绿，月光白,,霍尔传感器，温度传感器，HONOR Magic-link,,,,不支持触控,,,,,,,,12小时左右，视具体使用环境而定长续航笔记本,全新智冷散热设计,,100%,,1000000：1,,,魔法AI，电脑管家，YOYO助理，超级工作台,笔记本主机 x1 USB-C电源适配器（自带线材） x1 快速入门 x1 保修卡 x1 功能卡片 x1 贴纸 x1,,,,,,,,,,支持,,,,
戴尔灵越15 3530(i5 1334U),戴尔,¥3699,,1992889,,￥3899,2023年,商用,轻薄笔记本商务办公本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿i5 13代系列,Intel 酷睿i5 1334U中端主流机,,4.6GHz运行流畅,10核心/12线程,12MB,,,,8GB运行流畅,DDR4 2666MHz,512GB,SSD固态硬盘,,15.6英寸15.6游戏、便捷,16:9,1920x1080全高清屏,250nits,84.57%,120Hz,,,,核芯显卡,,共享内存容量 略显吃力,,,,,,,左侧：1×USB3.2，1×USB Type-C 右侧：1×USB2.0，HDMI1.4，3.5mm耳机/麦克风二合一接口,,,,3芯锂电池，41瓦时,,,,,,,,,,,,,不支持触控,,,,,,电源接口,,,,,,SD读卡器,,,,,,,,,,,,,,,,,,,
联想开天N80z G2e(兆芯KX-7000),联想,¥7799,,2138090,开天N80z G2e,￥8599,,商用,商务办公本,政企版系统银河麒麟/统信UOS+WPS,,兆芯 KX-7000,,3.5GHz运行流畅,八核心/八线程多任务运行强,,,16nm,,16GB极速运行,DDR5 4800MHz,1TB,SSD固态硬盘,LCD,14.5英寸14.5游戏、便捷,16:10,2560x1600超高清屏,350nit,81%,90Hz,,,,集成显卡,,共享内存容量 略显吃力,集成摄像头普清,内置音效芯片,内置2W*2扬声器,内置麦克风,WiFi6: ，支持802.11ax无线协议,支持，蓝牙5.2模块,左侧：2×USB 3.0 Type-C，1×USB 3.0 右侧：1×USB 3.0，1×USB 2.0，1×HDMI2.1,触摸板,全尺寸键盘,,锂电池，85瓦时,100V-240V 自适应交流电源适配器,1.5Kg,323mm,228mm,16.9mm,全金属机身,,,,,,,不支持触控,,,,,1000Mbps以太网卡,1×RJ45（网络接口），电源接口,,视具体使用环境而定长续航笔记本,双风扇，双水冷液管,,100%,,,,,,,,,,,,,,,,,,,,
ThinkPad T16G 2026(Ultra9-285HX),联想,¥53399,,2154570,,￥55499,2025年,商用,创意设计PC,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿Ultra 9系列,Intel 酷睿Ultra 9 275HX,,5.4GHz运行流畅,24核心/24线程,36MB,,3nm,,64GB极速运行,DDR5 5600MHz,6TB,SSD固态硬盘（PCIe4.0）,IPS,16英寸16,16:10,3840x2160超高清屏,800nits,82%,,,HDR400，莱茵低蓝光,100%,发烧级独立显卡,NVIDIA RTX 5090,24GB显示流畅,1080p FHD摄像头（IR）高清,,,,WiFi7,支持，蓝牙5.4模块,2×USB3.2 Gen2，1×Thunderbolt 4，2×Thunderbolt 5，1×HDMI 2.1，3.5mm耳机/麦克风二合一接口,触摸板,全尺寸键盘（包含独立数字键盘）,支持智能人脸识别功能,锂电池，99.9瓦时,100W USB Type-C电源适配器,2.54Kg,362mm,252mm,15.8mm,,,,,,4xSO-DIMM,192GB,不支持触控,,,GDDR7,,1000Mbps以太网卡,1×RJ45（网络接口）,,,,,,,,,支持智能指纹识别功能,,,,,,,,,,,,,,,,
联想启天D10(奔腾5030),联想,¥4999,,1930077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetch_failed,,,
惠普战66 七代 酷睿Ultra版,惠普,¥5199,,2004352,,,2024年05月,商用,轻薄笔记本商务办公本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿 Ultra 5系列,Intel 酷睿 Ultra 5 125H,,4.5GHz运行流畅,14核心/18线程,18MB,,7nm,,16GB极速运行,DDR5 5600MHz,512GB,SSD固态硬盘（PCIe4.0）,IPS,14英寸14游戏、便捷,16:10,1920x1200全高清屏,400nits,,60Hz,,DC调光，SGS低蓝光认证,,核芯显卡,,共享内存容量 略显吃力,500万像素摄像头（IR）,poly studio,,,WiFi6E，支持802.11ax无线协议,支持，蓝牙5.3模块,左侧：1×USB，2×USB Type-C 右侧：1×USB，1×HDMI，3.5mm耳机/麦克风二合一接口,触摸板,背光键盘,支持智能人脸识别功能,锂电池，56瓦时,65W USB Type-C电源适配器,1.44Kg,,,10.9-17mm,,,,180°开合: ，MIL-STD-810H标准: ，电源键指纹二合一,,2xSO-DIMM,32GB,不支持触控,,,,,,1×RJ45（网络接口）,,,,,100%,,,,支持智能指纹识别功能,,,,,,,,,,,,,,,,
ThinkPad X13 2023 酷睿版,联想,¥8199,,2105359,ThinkPad X13 2023酷睿版,,2023年,商用,轻薄笔记本商务办公本,预装家庭中文版Windows 11,英特尔 酷睿i5 13代系列,Intel 酷睿i5 1340P中端主流机,,4.6GHz运行流畅,12核心/16线程,12MB,,10nm,,16GB极速运行,LPDDR5 4800MHZ,2TB,SSD固态硬盘,LED,13.3英寸13.3移动、办公,16:10,1920x1200全高清屏,300nits,84.2%,60Hz,,,,,,共享内存容量 略显吃力,500万像素红外摄像头,杜比认证音效,立体声扬声器,抗噪麦克风,WiFi6: ，支持802.11ax无线协议,,2xUSB 3.2 Gen1 2xThunderbolt 4全功能接口，HDMI 2.0b，耳机/麦克风二合一接口,触摸板，指点杆,全尺寸键盘,,锂电池，54.7瓦时,,1.26Kg,,,,,,,,,,2TB,不支持触控,sRGB：100%,,,,1000Mbps以太网卡,安全锁孔，SIM卡插槽,,视具体使用环境而定长续航笔记本,双风扇散热,,,,,,支持智能指纹识别功能,,笔记本x1 电源适配器x1 用户指南x1,全国联保，享受三包服务,1年,,,,,,,,,,,,
惠普EliteBook 840 G10(i7-1355U),惠普,¥8099,,2080298,EliteBook 840 G10,￥6799,,商用,轻薄笔记本商务办公本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿i7 13代系列,Intel 酷睿i7 1355U高端机,,5GHz运行流畅,10核心/12线程,12MB,,,15W中等耗电,16GB极速运行,DDR5 4800MHz,1TB,SSD固态硬盘（PCIe4.0）,IPS,14英寸14游戏、便捷,16:10,1920x1200全高清屏,250nits,,120Hz,,防眩光屏,,集成显卡,Intel Iris Xe Graphics,共享内存容量 略显吃力,集成500万像素摄像头（IR）普清,内置音效芯片,双立体声扬声器,双阵列式后置麦克风,WiFi6E，支持802.11ax无线协议,,左侧：1×USB3.1 Type-A，2×Thunderbolt4 右侧：1×USB3.1 Type-A，1×HDMI2.0，1×耳机/麦克风二合一接口,触摸板,背光键盘,支持智能人脸识别功能,3芯锂电池，51瓦时,100V-240V 65W 自适应交流电源适配器,1.36Kg,315.6mm,224mm,19.2mm,金属材质,银色,,,,2xSO-DIMM,64GB,不支持触控,,,,,,1×安全锁口，1×NANO SIM卡槽,,视具体使用环境而定长续航笔记本,,,100%,,,,支持智能指纹识别功能,,,,,,,,,,,,,,,,
ThinkPad P16v AI 2024(Ultra7-155H),联想,¥20799,,2139135,,,2024年04月,商用,创意设计PC,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿 Ultra 7系列,英特尔 酷睿Ultra 7 155H,,4.8GHz运行流畅,16核心/22线程,,,,,96GB极速运行,DDR5 5600MHz,4TB,SSD固态硬盘（PCIe4.0）,,16英寸16,,1920x1200全高清屏,800nits,,,,,100%,专业级独立显卡,NVIDIA RTX 2000Ada,16GB显示流畅,,,,,WiFi6E，Intel AX211，支持802.11ax无线协议,支持，蓝牙5.1模块,,触摸板,全尺寸键盘（包含独立数字键盘）,,锂电池，90瓦时,,,,,,,,,MIL-STD-810H标准,,2xSO-DIMM,96GB,不支持触控,,,GDDR6,,1000Mbps以太网卡,,,,,,,,,,,,,,,,,,,,,,,,,,
联想拯救者R9000P 2025 AI元启 Ryzen 9 8945HX/32GB/1TB/RTX5070lenovo 拯救者R9000P 2025 AI元启,联想,,,2127515,LEGION R9000P ADR,￥17499,2025年05月,家用,游戏本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,AMD Ryzen 8000系列,AMD Ryzen 9 8945HX,2.5GHz,5.4GHz运行流畅,16核心/32线程,64MB,Zen 4,5nm,120W耗电高,32GB（16GB×2）极速运行热门游戏本,DDR5 5200MHz,1TB,SSD固态硬盘（PCIe4.0）,,16英寸16,,2560x1600超高清屏,500nits,,240Hz,3ms,莱茵TUV认证，Dolby VISION，DisplayHDR 400,100%,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce RTX5070,8GB显示流畅,HD摄像头高清,Nahimic音效,旗舰4扬声器,,WiFi7,支持，蓝牙5.4模块,2×USB-C，1×USB-A 10Gbps，2×USB-A 5Gbps，1×HDMI，3.5mm耳机/麦克风二合一接口,一体式精准触摸板,背光键盘,,锂电池，80瓦时,,2Kg,,,25mm,,冰魄白，碳晶黑,,,,2xSO-DIMM,,不支持触控,,,DDR7,,2.5Gbps以太网卡,1×RJ45（网络接口），电源接口,16MB,,乾坤Pro散热,Office家庭和学生版,,,,,,天禧个人超级智能体,,,,,115W,,,,,,,,2025年05月,,
联想拯救者Y9000P 2026 i9-14900HX/16GB/1TB/RTX5060lenovo 拯救者Y9000P 2026 i9-14900HX/16G,联想,,,2167818,拯救者Y9000P 2026,￥13999,2026年05月,家用,游戏本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿i9 14代系列,Intel 酷睿i9 14900HX旗舰机,2.2GHz,5.8GHz运行流畅,24核心/32线程,36MB,Raptor Lake,7nm,140W耗电高,16GB（16GB×1）极速运行热门游戏本,DDR5 5600MHz,1TB,SSD固态硬盘（PCIe4.0）,专业超竞屏,16英寸16,16:10,2560x1600超高清屏,500nits,,240Hz,3ms,硬件级低蓝光，莱茵TUV认证，G-SYNC，FreeSync Premium，DisplayHDR 400,100%,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce RTX5060,8GB显示流畅,HD摄像头高清,Nahimic音效,旗舰4扬声器,内置麦克风,WiFi7,支持蓝牙功能,左侧：2×USB-C，1×USB-A 右侧：2×USB-A，1×HDMI2.1，3.5mm耳机/麦克风二合一接口,一体式精准触摸板,背光键盘,,锂电池，80瓦时,300W 自适应交流电源适配器,2.5Kg,364.38mm,275.9mm,21.9-26.7mm,金属+复合材质,碳晶黑，冰魄白,,,,,,不支持触控,,,GDDR7,128bit,2.5Gbps以太网卡,1×RJ45（网络接口），电源接口,,,第二代乾坤Pro散热系统,正版 Office,,,,,,,,,,,115W,支持,,,,,,,2026年05月,,
